//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-20-2024
//--  Time: 18:44
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -20(C), 	Resistance 1: 15701 Ohms 
//--    Temperature2: 10(C), 	Resistance 2: 3820 Ohms 
//--    Temperature3: 40(C), 	Resistance 3: 1157 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	264.31	2643 	0.156
2	212.77	2128 	0.313
3	184.60	1846 	0.469
4	165.17	1652 	0.625
5	150.25	1502 	0.781
6	138.05	1380 	0.938
7	127.65	1276 	1.094
8	118.51	1185 	1.250
9	110.31	1103 	1.406
10	102.80	1028 	1.563
11	95.83	958 	1.719
12	89.26	893 	1.875
13	83.02	830 	2.031
14	77.02	770 	2.188
15	71.21	712 	2.344
16	65.51	655 	2.500
17	59.90	599 	2.656
18	54.30	543 	2.813
19	48.69	487 	2.969
20	43.00	430 	3.125
21	37.17	372 	3.281
22	31.15	312 	3.438
23	24.84	248 	3.594
24	18.14	181 	3.750
25	10.88	109 	3.906
26	2.83	28 	4.063
27	-6.38	-64 	4.219
28	-17.44	-174 	4.375
29	-31.84	-318 	4.531
30	70.00	700 	4.688
31	70.00	700 	4.844
